> tier,category,lang,anchor,phrase,notes
# invisible to an English-only recogniser. Documented in README.md §Evasions.
# ---------------------------------------------------------------------------
A,A5,en,seq,social security number has been suspended,
A,A5,en,seq,social security number is suspended,
A,A5,en,seq,suspension of your social,
A,A5,en,seq,your social has been compromised,
A,A5,en,pair,arrest warrant,
A,A5,en,seq,federal arrest warrant,
A,A5,en,seq,warrant for your arrest,
A,A5,en,seq,warrant has been issued in your name,
A,A5,en,seq,marshals are on the way,
A,A5,en,seq,law enforcement is on the way to your address,
A,A5,en,seq,you will be arrested,
A,A5,en,seq,if you hang up you will be arrested,
A,A5,en,seq,your assets will be frozen,
A,A5,en,seq,your accounts will be seized,
A,A5,en,seq,money laundering charges,
A,A5,en,seq,narcotics were found,
A,A5,en,seq,a rental car registered in your name,
A,A5,en,seq,abandoned vehicle near the border,
A,A5,en,seq,blood stains were found,

# ---------------------------------------------------------------------------
# TIER A6 — isolation and coaching to deceive.
# The brief calls this the single strongest scam signal in the corpus, and it
# is the one category with no legitimate analogue anywhere in outbound sales:
# a licensed agent has no reason to tell a prospect what to say to their bank.
# ---------------------------------------------------------------------------
A,A6,en,seq,do not tell the bank,
A,A6,en,seq,dont tell the teller,apostrophe stripped at normalisation
A,A6,en,seq,do not discuss this with anyone,
A,A6,en,seq,keep this confidential,
A,A6,en,seq,tell them it is for a home renovation,
A,A6,en,seq,tell them you are buying a car,
A,A6,en,seq,if the bank asks you,
A,A6,en,seq,if anyone asks you say,
A,A6,en,seq,stay on the line while you drive,
A,A6,en,seq,do not hang up the phone,
A,A6,en,seq,your line is being monitored,
A,A6,en,seq,do not tell your family,
A,A6,en,seq,this is under a gag order,

# ---------------------------------------------------------------------------
# TIER A7 — credential and OTP harvesting.
# Read the X1 exclusions below at the same time. "last four of your social" is
# a legitimate insurance qualifier and sits well inside the edit distance of
# "your complete social" — the exclusion veto is what keeps that call up.
# ---------------------------------------------------------------------------
A,A7,en,seq,the six digit code we just sent,
A,A7,en,seq,one time passcode,
A,A7,en,seq,read me the code from your phone,
A,A7,en,seq,read back the verification code,
A,A7,en,seq,your online banking password,
A,A7,en,seq,your netbanking password,
A,A7,en,seq,your net banking password,spelled-apart twin: 'netbanking' is not in the Vosk lexicon
A,A7,en,seq,the three digits on the back of your card,
A,A7,en,seq,the security code on the back,
A,A7,en,pair,cvv number,
A,A7,en,seq,c v v number,spelled-out twin: 'cvv' is not in the Vosk lexicon
A,A7,en,seq,your full social security number,
A,A7,en,seq,your complete social,

# ---------------------------------------------------------------------------
# TIER A8 — refund and tech-support scam anchors.
# ---------------------------------------------------------------------------
A,A8,en,pair,refund department,
A,A8,en,seq,we accidentally refunded,
A,A8,en,seq,we sent too much money,
A,A8,en,seq,you were overpaid,
A,A8,en,seq,you have been overcharged and we,
A,A8,en,seq,type the amount into the field,
A,A8,en,seq,geek squad renewal,
A,A8,en,seq,geek squad auto renewal,
A,A8,en,seq,norton auto renewal,
A,A8,en,seq,mcafee subscription renewal,
A,A8,en,seq,your computer is sending out,
A,A8,en,seq,your ip address has been compromised,
A,A8,en,seq,your device is infected with,
A,A8,en,seq,microsoft technical support,
A,A8,en,seq,windows support department,
A,A8,en,seq,your subscription auto renewed for,

# ---------------------------------------------------------------------------
# TIER X1 — exclusions. NEVER match; veto any A/B hit overlapping their span.
#
# Every one of these is a question a licensed insurance agent asks on a
# legitimate final-expense or Medicare call. They are here because the fuzzy
# matcher would otherwise reach them from A7, not because they are suspicious.
# ---------------------------------------------------------------------------
X,X1,en,seq,last four of your social,vetoes A7 "your complete social"/"your full social security number"
X,X1,en,seq,last four digits of your social,the "digits" variant - one token past the edit budget of the row above so it needs its own entry
X,X1,en,seq,date of birth,
X,X1,en,pair,your zip code,
X,X1,en,pair,your beneficiary,
X,X1,en,seq,height and weight,

# ---------------------------------------------------------------------------
# TIER B1 — agency impersonation.
# Naming an agency is not by itself a scam: a compliant Medicare agent says
# "Medicare" constantly. That is why these score rather than disconnect, and
# why C1 (the not-affiliated disclaimer) is weighted as heavily as it is.
# ---------------------------------------------------------------------------
B,B1,en,seq,social security administration,
B,B1,en,seq,office of inspector general,
B,B1,en,seq,internal revenue service,
B,B1,en,seq,medicare fraud unit,
B,B1,en,seq,federal trade commission,
B,B1,en,seq,us marshals service,
B,B1,en,seq,drug enforcement administration,
B,B1,en,pair,homeland security,
B,B1,en,seq,customs and border protection,
B,B1,en,seq,this is officer,
B,B1,en,pair,badge number,
B,B1,en,seq,my badge id,
B,B1,en,pair,case number,
B,B1,en,seq,case id number,
B,B1,en,pair,docket number,
B,B1,en,seq,affidavit against you,

# ---------------------------------------------------------------------------
# TIER B2 — urgency and threat.
# ---------------------------------------------------------------------------
B,B2,en,seq,within the next thirty minutes,
B,B2,en,pair,final notice,
B,B2,en,pair,last warning,
B,B2,en,seq,before end of business today,
B,B2,en,seq,your license will be suspended,
B,B2,en,seq,your power will be disconnected,
B,B2,en,pair,disconnection within,
B,B2,en,seq,your benefits will stop immediately,

# ---------------------------------------------------------------------------
# TIER B3 — prize and lottery.
# ---------------------------------------------------------------------------
B,B3,en,seq,you have won,
B,B3,en,seq,publishers clearing house,
B,B3,en,seq,claim your prize,
B,B3,en,seq,processing fee to release,
B,B3,en,seq,customs fee to release,
B,B3,en,pair,sweepstakes winner,
B,B3,en,seq,taxes on your winnings,

# ---------------------------------------------------------------------------
# TIER B4 — advance fee.
# The nearest neighbour to legitimate lead-gen in the whole corpus. "no credit
# check" and "guaranteed approval" appear in real subprime auto and personal
# loan scripts, which is exactly why they are B and not A.
# ---------------------------------------------------------------------------
B,B4,en,pair,guaranteed approval,
B,B4,en,seq,no credit check loan,
B,B4,en,seq,insurance fee to release the loan,
B,B4,en,seq,first payment upfront,
B,B4,en,pair,activation fee,
B,B4,en,seq,the fee is refundable once,

# ---------------------------------------------------------------------------
# TIER B5 — family emergency.
# ---------------------------------------------------------------------------
B,B5,en,pair,your grandson,
B,B5,en,seq,your grandson is in jail,
B,B5,en,pair,posted bail,
B,B5,en,pair,bail money,
B,B5,en,seq,the public defender,
B,B5,en,seq,he asked me not to tell you,

# ---------------------------------------------------------------------------
# TIER B6 — investment and pig butchering.
# ---------------------------------------------------------------------------
B,B6,en,pair,guaranteed returns,
B,B6,en,seq,risk free investment,
B,B6,en,seq,double your money,
B,B6,en,seq,our trading platform,
B,B6,en,seq,deposit to unlock your withdrawal,
B,B6,en,seq,withdrawal fee before we release,

# ---------------------------------------------------------------------------
# TIER C1 — the government-agency disclaimer.
# The highest-value suppressor in the corpus and weighted separately from the
# rest for that reason (PHRASEGUARD_C1_WEIGHT, default 1.5). A floor reading
# this is a floor with a compliance script, and no scam floor reads it.
# ---------------------------------------------------------------------------
C,C1,en,seq,not affiliated with any government agency,
C,C1,en,seq,we are not affiliated with medicare,

# ---------------------------------------------------------------------------
# TIER C2 — the rest of the compliance disclaimers.
# ---------------------------------------------------------------------------
C,C2,en,seq,licensed insurance agent,
C,C2,en,seq,state licensed agent,
C,C2,en,seq,this call may be recorded for quality,
C,C2,en,seq,you can be removed from our list,
C,C2,en,pair,no obligation,
C,C2,en,seq,a licensed agent will call you back,

# ===========================================================================
# URDU SEED SET — lang=ur. NOT LOADED BY DEFAULT.
#
# PHRASEGUARD_LANGS defaults to "en". These rows are in the file so a native
# speaker has something concrete to correct and extend; they are not loaded
# until someone sets PHRASEGUARD_LANGS=en,ur, and nobody should set that until
# the review has happened.
#
# The brief is explicit that machine-generated transliterations must not be
# treated as authoritative, and it is right to be: Roman-Urdu has no settled
# orthography, an English acoustic model will render these unpredictably, and
# a wrong Tier A row here disconnects a legitimate call in a language nobody
# reviewing the logs reads. Every row is tier B on purpose — a reviewer can
# promote to A after confirming both the wording and how the recogniser
# actually spells it, which is not knowable without hand-labelled audio off
# this trunk.
#
# Note which categories are seeded. A1/A2/A3/A7 keep most of their value in
# any language because the product and brand nouns embed untranslated — a
# Karachi floor still says "gift card", "AnyDesk", "Bitcoin", "OTP", "code".
# A5 and A6 do not survive translation and are the real gap.
# ===========================================================================
B,A2,ur,seq,gift card kharido,SEED - unreviewed. "buy a gift card"
B,A2,ur,seq,card ka number batao,SEED - unreviewed. "tell me the card number"
B,A2,ur,seq,card ke peeche ka code,SEED - unreviewed. "the code on the back of the card"
B,A1,ur,seq,anydesk download karo,SEED - unreviewed. brand noun embeds untranslated
B,A1,ur,seq,software install karo,SEED - unreviewed
B,A7,ur,pair,code batao,SEED - unreviewed. "tell me the code"
B,A7,ur,pair,otp batao,SEED - unreviewed. "tell me the OTP"
B,A3,ur,seq,bitcoin machine par jao,SEED - unreviewed. "go to the bitcoin machine"
B,A6,ur,seq,kisi ko mat batana,SEED - unreviewed. "do not tell anyone" - the A6 analogue
B,A6,ur,seq,bank ko mat batana,SEED - unreviewed. "do not tell the bank"
B,A5,ur,seq,warrant nikal gaya hai,SEED - unreviewed. "a warrant has been issued"
